benchmark,language,run,time_ms,n
fibonacci,c,1,17,35
fibonacci,go,1,45,35
fibonacci,rust,1,25,35
fibonacci,zig,1,25,35
fibonacci,python,1,725,35
fibonacci,typescript,1,1077,35
fibonacci,lumen,1,67,35
json_parse,c,1,4,
json_parse,go,1,15,
json_parse,rust,1,5,
json_parse,zig,1,4,
json_parse,python,1,32,
json_parse,typescript,1,990,
json_parse,lumen,1,75,
string_ops,c,1,3,
string_ops,go,1,4,
string_ops,rust,1,4,
string_ops,zig,1,2,
string_ops,python,1,17,
string_ops,typescript,1,919,
string_ops,lumen,1,8,
tree,c,1,23,
tree,go,1,25,
tree,rust,1,29,
tree,zig,1,13,
tree,python,1,642,
tree,typescript,1,992,
tree,lumen,1,495,
sort,c,1,60,1000000
sort,go,1,74,1000000
sort,rust,1,26,1000000
sort,zig,1,70,1000000
sort,python,1,571,1000000
sort,typescript,1,1179,1000000
sort,lumen,1,295,1000000
nbody,c,1,56,1000000
nbody,go,1,76,1000000
nbody,rust,1,41,1000000
nbody,zig,1,37,1000000
nbody,python,1,5282,1000000
nbody,typescript,1,1005,1000000
nbody,lumen,1,8515,1000000
matrix_mult,c,1,6,200
matrix_mult,go,1,13,200
matrix_mult,rust,1,11,200
matrix_mult,zig,1,8,200
matrix_mult,python,1,779,200
matrix_mult,typescript,1,945,200
matrix_mult,lumen,1,930,200
fannkuch,c,1,163,10
fannkuch,go,1,159,10
fannkuch,rust,1,165,10
fannkuch,zig,1,220,10
fannkuch,python,1,5061,10
fannkuch,typescript,1,1184,10
fannkuch,lumen,1,ERROR,10
primes_sieve,c,1,5,1000000
primes_sieve,go,1,7,1000000
primes_sieve,rust,1,5,1000000
primes_sieve,zig,1,4,1000000
primes_sieve,python,1,187,1000000
primes_sieve,typescript,1,874,1000000
primes_sieve,lumen,1,326,1000000
ackermann,lumen,1,930,
call_overhead,lumen,1,1629,
mandelbrot,lumen,1,32,
int_fib,lumen,1,66,
int_primes,lumen,1,30,
int_sum_loop,lumen,1,428,
list_sum,lumen,1,7,
string_concat,lumen,1,9,
